Name_val,Name_@footnote,Cost_AllPriorYears_TotalCost_val,Cost_AllPriorYears_UnitCost_val,Cost_AllPriorYears_Quantity_val,Cost_PriorYear_UnitCost_val,Cost_PriorYear_Quantity_val,Cost_PriorYear_TotalCost_val,Cost_CurrentYear_UnitCost_val,Cost_CurrentYear_Quantity_val,Cost_CurrentYear_TotalCost_val,Cost_BudgetYearOneBase_UnitCost_val,Cost_BudgetYearOneBase_Quantity_val,Cost_BudgetYearOneBase_TotalCost_val,Cost_BudgetYearOneOCO_UnitCost_val,Cost_BudgetYearOneOCO_Quantity_val,Cost_BudgetYearOneOCO_TotalCost_val,Cost_BudgetYearOne_UnitCost_val,Cost_BudgetYearOne_Quantity_val,Cost_BudgetYearOne_TotalCost_val,Cost_BudgetYearTwo_TotalCost_val,Cost_BudgetYearTwo_UnitCost_val,Cost_BudgetYearTwo_Quantity_val,Cost_BudgetYearThree_TotalCost_val,Cost_BudgetYearThree_UnitCost_val,Cost_BudgetYearThree_Quantity_val,Cost_BudgetYearFour_TotalCost_val,Cost_BudgetYearFour_UnitCost_val,Cost_BudgetYearFour_Quantity_val,Cost_BudgetYearFive_TotalCost_val,Cost_BudgetYearFive_UnitCost_val,Cost_BudgetYearFive_Quantity_val,Cost_ToComplete_UnitCost_val,Cost_ToComplete_Quantity_val,Cost_ToComplete_TotalCost_val,Cost_Total_UnitCost_val,Cost_Total_Quantity_val,Cost_Total_TotalCost_val,Cost_Quantity_PriorYear_val,Cost_Quantity_CurrentYear_val,Cost_Quantity_BudgetYearOneBase_val,Cost_Quantity_BudgetYearOne_val,Cost_TotalCost_PriorYear_val,Cost_TotalCost_CurrentYear_val,Cost_TotalCost_BudgetYearOneBase_val,Cost_TotalCost_BudgetYearOne_val,Cost_UnitCost_PriorYear_val,Cost_UnitCost_CurrentYear_val,Cost_UnitCost_BudgetYearOneBase_val,Cost_UnitCost_BudgetYearOne_val,@SOURCE_FILENAME,@RECORDID,@ROWID,@PARENTROWID,@PARENT
"DROPSONDES","","0.000","","","0.001","2175","1.566","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","2-b323c20c7f3381f7294930cad5400fbd27d7a79f18df40ee83d72e71e37053ab","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"SUBSYSTEM & DROPSONDE SHIPPING","","0.000","","","0.016","1","0.016","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","3-77aea0ad87383f2aeaa50900572a7dfff383c096a989450d45a4fea521db7fc7","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"SUPPORT SERVICES & SPARES","","2.173","2.173","1","2.402","1","2.402","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","4-f4592ff2efec7742a35192f63fa9c8789995d5e604fdd6b283b60db2de16595c","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PROGRAM MANAGEMENT ADMINISTRATION (PMA)","","2.42","2.42","1","2.287","1","2.287","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","5-a36243a6833e6a762137adfb372688be68609d7cd608d5abeb88f961c16b42e9","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"SYSTEM ENGINEERING & LOGISTICAL SUPPORT","","0.000","","","1.304","1","1.304","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","6-f79cfae2733fb990b84d1fd7761686ca2caeca3e474ec76553e62f7f0529e6a3","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"TESTING","","0.000","","","0.775","1","0.775","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","7-7ed9e710dbe75e5193052e99f031888b3c3761a6edca758e9cfc011f4376e49f","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"ULTRALIGHT DELIVERY SYSTEM","","0.137","0.034","4","0.035","2","0.069","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","8-ebb2b6148ac5063c2f664c9568faaa71bb80a9425abd385bb5545341b094e8ea","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"2K DELIVERY SYSTEM","","1.822","0.059","31","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","9-b787d5698b483b3c0d36b7f794a23b04a4694f2ddbe172e3c5b6fa0db4647b0c","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"10K DELIVERY SYSTEM","","0.000","","","0.132","5","0.66","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","10-c70238cd789e439d510bccdf519b8d643c436f77c14c65e8a3beb12a39d6e5f8","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"NAVAID DELIVERY SYSTEM","","0.000","","","0.01","80","0.836","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","11-ecec091644441b4616ebfa13dd04cabcc92e1f6c0fc9c12f41328ea43e122c1c","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"DELIVERY SYSTEM RIGGING & SERVICES","","0.000","","","0.024","1","0.024","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","91a57366575f470857853bb197b2a1d183c9dba8089e683791b390b06e9c63b1","12-f86e67e4615534e48d4c6eba604dd8a44dc885bbe608696d6c8cbd931c867afd","57-aaef3a05d0d21a4c03ac3ceeb3cfad833cc7e85a330f69a0006c85e027b07c53","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (DEPLOYABLE) -- HILL AFB, UT","","1.434","0.143","10","0.143","10","1.434","","","0.000","0.162","6","0.972","0.162","34","5.508","0.162","40","6.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","0-c927840eec34af21ccd70da8b8bebd0afab68aae6ea85c5423075ee7b9caf91b","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (FIXED) -- HANSCOM AFB, MA","","0.000","","","0.3","2","0.6","","","0.000","0.386","5","1.93","","","0.000","0.386","5","1.93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","1-9c60484faf9c5f2d81c89f2936c27b6bd9c009e8f166b8b1e1a574daa26d2e46","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (REMOTE) -- OFFUTT AFB, NE","","0.000","","","","","0.000","","","0.000","0.006","40","0.24","","","0.000","0.006","40","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","2-fb95b59b6b6e2d1ccc7716a1723d9dadab0864d427f02d434e32a8e236b44cdd","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"CONTRACTOR SERVICES - STORAGE AND INSTALLATION (OS-21)","","0.000","","","","","0.315","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","3-e6b865ad5cbb82e9fab772b6a5de27b1090f89012488dafaf64d93bff00f8ceb","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"INTERIM CONTRACTOR SUPPORT (OS-21)","","0.000","","","","","0.385","","","0.347","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","4-1c1e795767b8abcc57b5d7699bab2ff0663afcc6265082c122c1d492821be85d","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PROGRAM MANAGEMENT ADMINISTRATION (OS-21)","","1.419","","","","","1.344","","","0.976","","","0.622","","","0.092","","","0.714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","5-13c0d08be5a1d7df31515be97c311c64096d511c72b33cd871954f49b7ab4b81","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"a. OS-21","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","6-78753f093ca7eb00a05a98d487ecb1d1048885ece9b31da1dd20165f811f4c4b","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (NEXION) -- PETERSON AFB, CO","","1.08","0.27","4","0.274","2","0.548","0.274","3","0.822","0.274","2","0.548","","","0.000","0.274","2","0.548","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","7-1b886d2f14801fc573d93616046c3ffdb81f81af3a2b5236ba190b8006c68e3f","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"INSTALLATION (NEXION)","","1.068","","","","","0.127","","","0.427","","","0.961","","","0.000","","","0.961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","8-dec9ff42bd8d899f941045c64a9d8d2f1cd54cd931915932c7dbd0f9d0ece406","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"INTERIM CONTRACTOR SUPPORT (NEXION)","","0.068","","","","","0.1","","","0.266","","","0.393","","","0.000","","","0.393","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","9-03da7d64f62d859587b2443de5d55fdca867adc41436b2b0f341bfd83b61770c","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PROGRAM MANAGEMENT ADMINISTRATION (NEXION)","","0.384","","","","","0.325","","","0.33","","","0.098","","","0.000","","","0.098","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","10-498671ffb071f8c25f5188d900a937318de7e15e7fce45c44e57730711a64b5d","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"b. NEXT GENERATION IONOSONDE (NEXION) REPLACEMENT","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","11-b378cb8d31d5ea5488458db021344d1f1c6ae591071100edf8cceafb5e321b1d","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PRIME MISSION EQUIPMENT (RADAR) -- HANSCOM AFB, MA","","3.516","0.586","6","","","0.000","0.6","3","1.8","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","12-d8a7f1d365319c113d2617a1d2825cc60a43c738c0f4ccb76f46c669e58fd192","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"INTERIM CONTRACTOR SUPPORT (RADAR)","","0.4","","","","","0.000","","","0.8","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","13-f94949187a067d41f6b73b6ada71d7810aad189278d9a8583ade9306eb024f20","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"PROGRAM MANAGEMENT ADMINISTRATION (RADAR)","","1.723","","","","","0.349","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","14-4384ccd240b0e83ada467646826db196a7f5c702f297ffd6dc7f21956d75d215","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"c. PORTABLE DOPPLER RADAR","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","029f9cfc81966e71959c448f20846c6147fa7196987f90aa761d4afac1e37021","15-c92c8a50e8861e5d40268c254d625eb94ec1d8a5fd665c53af67743943b3c2e4","6-e15af52d030c092f41c485a8d30eda7c3159683a5a5fd1904242b5a203330628","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"a. PRIME MISSION EQUIPMENT (Wing LAN)","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","0-2167e141bacaf660cf55d306633b67082fa42779e9871c48f22a649dcee928d4","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Wing LAN Network Infrastructure","","3.644","3.644","1","7.142","1","7.142","1.566","1","1.566","3.602","1","3.602","","","0.000","3.602","1","3.602","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","1-73c642575621821947d94d2417dd32c6f5c1a8bcfa0f5fc44881dd9ad62e6fde","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"Land Mobile Radio (LMR) Systems","","0.000","","","","","0.000","3.8","1","3.8","4.2","1","4.2","","","0.000","4.2","1","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","2-afb5e87368078c839e6a1055fc58cd2ddc793c7e97cf476261daf129c41b3fa2","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"b.  PRIME MISSION EQUIPMENT (DSATCOM PHASE 1)","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","3-a3cda2c55d3e3955a34810a536a0425502808d001ca038074bd511f3ef79f1c5","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AN/TSC-159a Mod/Integration (Active)","","1.26","0.21","6","","","0.000","0.12","8","0.96","0.13","6","0.78","","","0.000","0.13","6","0.78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","4-70d59998587431cd6125e0466fda10c8c8e1776f5a9523ccb8c71469932f8b19","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AN/TSC-159a Mod/Integration (Guard)","","0.000","","","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","5-a1dd0ef0bd5d7bdc74eee578ddd48d0b8151479ba3c34dc7aabc99c94fa95135","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"AN/TSC-159a Mod/Integration (Reserve)","","0.84","0.21","4","","","0.000","","","0.000","0.13","2","0.26","","","0.000","0.13","2","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","6-43391245e73c4b3e20c118e3e108beb25cca53039cc11ac3650ea1d5df8ae2a3","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
"War Readiness Spares Kit","","0.5","0.05","10","","","0.000","","","0.000","","","0.000","","","0.000","","","0.000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2013-BASE_PROCUREMENT-2013-AIRFORCE_OTHER-MasterJustificationBook_Air_Force_PB_2013.zzz_unzipped-MasterJustificationBook_Air_Force_PB_2013.xml","68e782c74322d287cc48be509d05c736c1fde706ff4361c45c81cbe18305054d","7-28ad577842ba5acfbc492e2eb696cebe43f2c41d0e0e43beae6dc61228f09a18","2-7a4a7b9d90279a093362967aba44b93cc705bd411099722c1985ba4bee918188","root.record.ItemExhibitList.P5Item.CostElementCategoryList.Hardware.Recurring.CostElementList.CostElement"
